timestamp, id, price (in eth), price (in wei), from, to, block, tx
2017-10-14 00:07:10 UTC, 9563, 0.310000, 310000000000000001, 0x53ede7cae3eb6a7d11429fe589c0278c9acbe21a, 0x0000000000000000000000000000000000000000, 4363546, 0xabe68eb18888512dead19e4bbce35ed5ec82466b2ab39b6b3cc6c2b0fee822ed
2017-10-14 00:10:01 UTC, 2602, 0.150000, 150000000000000001, 0x53ede7cae3eb6a7d11429fe589c0278c9acbe21a, 0x0000000000000000000000000000000000000000, 4363548, 0xeaf94a1860972e8a31dd29eead5dc7f3c9bfcc69429f28fa99b468ecf7f373cb
2017-10-14 00:10:16 UTC, 2731, 0.150000, 150000000000000001, 0x53ede7cae3eb6a7d11429fe589c0278c9acbe21a, 0x0000000000000000000000000000000000000000, 4363550, 0x567d664feb3e12f2ad15d0c3fd09b753d92da7b464521ef054e9d37798835d3b
2017-10-14 00:11:39 UTC, 7659, 0.150000, 150000000000000001, 0x53ede7cae3eb6a7d11429fe589c0278c9acbe21a, 0x0000000000000000000000000000000000000000, 4363551, 0x8343b37bb6fbba3da1b74eabb12fb387f5e60f30d8d904d31184aa88dbde8fcf
