timestamp, id, price (in eth)
2020-12-23 01:26:21, 7613, 6.0
2020-12-23 03:01:30, 2209, 15.0
2020-12-23 03:27:38, 3080, 4.0
2020-12-23 05:08:23, 9717, 6.0
2020-12-23 05:15:55, 8247, 6.0
2020-12-23 05:30:42, 1524, 4.0
2020-12-23 07:17:42, 3125, 5.0
2020-12-23 09:30:15, 2390, 5.3
2020-12-23 09:30:28, 4261, 5.5
2020-12-23 11:34:30, 7557, 30.0
2020-12-23 13:05:22, 7131, 13.75
2020-12-23 13:30:05, 4930, 5.3
2020-12-23 14:36:32, 3361, 11.0
2020-12-23 16:22:51, 5647, 21.5
2020-12-23 17:27:07, 5209, 3.8
