timestamp, id, price (in eth)
2020-12-24 01:26:40, 9079, 5.5
2020-12-24 01:59:53, 3922, 4.0
2020-12-24 03:23:25, 5733, 4.2
2020-12-24 03:30:47, 4866, 4.0
2020-12-24 03:42:49, 7407, 49.0
2020-12-24 04:13:41, 9912, 22.0
2020-12-24 05:56:10, 9502, 5.95
2020-12-24 06:13:42, 7563, 20.1
2020-12-24 10:04:56, 4112, 14.1
2020-12-24 10:43:03, 2450, 7.0
2020-12-24 11:10:54, 3441, 7.12
2020-12-24 18:42:37, 5546, 4.2
2020-12-24 22:07:38, 2887, 13.37
2020-12-24 23:36:15, 2410, 7.25
2020-12-24 23:37:45, 1605, 21.5
