timestamp, id, price (in eth), price (in wei), from, to, block, tx
2021-02-01 18:44:30 UTC, 8871, 5.750000, 5750000000000000000, 0xa22ac44ec0420cabdad38ed7355c1f5c0189c41e, 0x5e8f92c5bfad1c18db148e563be7c9d02b342db2, 11772014, 0x893201a1279a87eb67c917d49e0940fc1231221dd625794e5edf106c558c8781
2021-02-01 19:10:19 UTC, 8724, 10.000000, 10000000000000000000, 0xb044aff5d2f044da7d40785d88d2f2cb4ec5f324, 0x0000000000000000000000000000000000000000, 11772140, 0x95a50efbcb81508d5c607e304b5ee2013d2bc32c22a31932854e432eb3eec014
2021-02-01 19:55:21 UTC, 4511, 6.660000, 6660000000000000000, 0x13816f65ba8195768e6825eb774fd3c6a05a0ac8, 0xc9ab5825ceacc38a014ecc349bd3fb8572de81d4, 11772339, 0x310639102870d05401482f4fd12c9c67bf82814165bc102696d1eefca080c231
2021-02-01 20:16:22 UTC, 53, 20.000000, 20000000000000000000, 0xc352b534e8b987e036a93539fd6897f53488e56a, 0xdcf227c475a43c82a4ffeb133729d6ce2f348a92, 11772424, 0xc54b2404132977cb5abaa7f8c469b8464d96b2e4d8ed108f3e89e75abab18659
2021-02-01 20:45:34 UTC, 1630, 18.000000, 18000000000000000000, 0xc352b534e8b987e036a93539fd6897f53488e56a, 0xc46db2d89327d4c41eb81c43ed5e3dff111f9a8f, 11772569, 0x3b1cf45755e41834014afb1ab63f55ead69426d7d8f4c4a9792305f6f2a410a5
2021-02-01 20:47:47 UTC, 2673, 6.000000, 6000000000000000000, 0xda81a57188006feac8711b046b28a79ea202e999, 0x0000000000000000000000000000000000000000, 11772582, 0xb80c3aa0922c7e6770adb7a170dd889279c0f57c17857a111e229e7547c7e0fb
2021-02-01 21:20:35 UTC, 3528, 9.970000, 9970000000000000000, 0xa3cb30128532f43fe1c8a9f4c19422aa631307a9, 0x0000000000000000000000000000000000000000, 11772733, 0x0095a68697040a95f26a048f5a5b51fd052d4b04f066510d2e65ed03fe1d12a6
2021-02-01 23:03:24 UTC, 3091, 4.440000, 4440000000000000000, 0xdae48d7b5c73a95f74caae08f7f92d3b7927f449, 0x0000000000000000000000000000000000000000, 11773189, 0xda917870ede1b95b47583ae5aa0abb215c4429094d44956e918e0409104d98c0
2021-02-01 23:51:31 UTC, 9292, 9.200000, 9200000000000000000, 0x6301add4fb128de9778b8651a2a9278b86761423, 0x1f92fc15bcbeb4dd24eefbead8d7aee409f891dc, 11773379, 0xaf94b8192fcd12b20dc9fd81cfb5efc4cdfbc49a96dee15ef69677ebb7852ce3
2021-02-01 23:54:42 UTC, 7755, 4.990000, 4990000000000000000, 0xca8fe4acb1cb8b5550a3c71ffe2399f6c7016686, 0xcc81b4631c4b321421267c1d4b43e7b2d7c52a23, 11773402, 0x6c590d6b64c428b639827ecf0fc4e78de103e1673d0cbe36592dd3e0f9e99b3c
