timestamp, id, price (in eth), price (in wei), from, to, block, tx
2020-08-02 14:48:55 UTC, 3499, 1.990000, 1990000000000000000, 0x1a96afe48e215c47d80eeff6eef64685247c2503, 0x93ca0ecfc2bf0d9166c7e87bc2d9a8e0ee92b9fb, 10581031, 0x1b46f45382509036bfb503f8aa8dfd3b2139673aa0ef602f5a2f7fe23187a91c
2020-08-02 19:03:36 UTC, 6169, 1.000000, 1000000000000000000, 0x23170777466de6046ff42bd5abcf525077e3ce27, 0x0000000000000000000000000000000000000000, 10582136, 0x9dd3f34e55b8125200415a478d95afa58cc157c58f2d15a67a9fd40423f42d82
2020-08-02 19:03:36 UTC, 4166, 1.000000, 1000000000000000000, 0x23170777466de6046ff42bd5abcf525077e3ce27, 0x0000000000000000000000000000000000000000, 10582136, 0xad7fa65e72911f4738b1a72c8416c479258bcfcdb7b8c0226abc1754e991edaa
