timestamp, id, price (in eth), price (in wei)
2020-09-27 00:13:55 UTC, 3199, 3.100000, 3100000000000000000
2020-09-27 01:47:07 UTC, 9666, 3.000000, 3000000000000000000
2020-09-27 01:56:10 UTC, 4110, 3.100000, 3100000000000000000
2020-09-27 03:28:01 UTC, 7178, 3.450000, 3450000000000000000
2020-09-27 03:43:17 UTC, 3523, 3.700000, 3700000000000000000
2020-09-27 03:46:08 UTC, 2556, 3.000000, 3000000000000000000
2020-09-27 04:04:05 UTC, 6642, 3.610000, 3610000000000000000
2020-09-27 04:19:46 UTC, 7972, 9.640000, 9640000000000000000
2020-09-27 04:22:37 UTC, 8879, 5.130000, 5130000000000000000
2020-09-27 04:47:55 UTC, 7360, 6.999000, 6999000000000000000
2020-09-27 04:56:44 UTC, 7182, 8.990000, 8990000000000000000
2020-09-27 07:24:48 UTC, 8358, 2.970000, 2970000000000000000
2020-09-27 07:26:41 UTC, 5752, 3.000000, 3000000000000000000
2020-09-27 07:27:19 UTC, 4808, 3.000000, 3000000000000000000
2020-09-27 07:28:48 UTC, 2939, 3.000000, 3000000000000000000
2020-09-27 07:38:58 UTC, 8970, 3.000000, 3000000000000000000
2020-09-27 07:41:22 UTC, 3533, 3.000000, 3000000000000000000
2020-09-27 09:36:18 UTC, 5101, 8.000000, 8000000000000000000
2020-09-27 12:16:47 UTC, 8829, 6.250000, 6250000000000000000
2020-09-27 12:22:55 UTC, 9655, 5.000000, 5000000000000000000
2020-09-27 13:56:31 UTC, 3509, 3.100000, 3100000000000000000
2020-09-27 13:58:26 UTC, 6008, 3.100000, 3100000000000000000
2020-09-27 13:59:26 UTC, 4023, 3.100000, 3100000000000000000
2020-09-27 14:08:58 UTC, 2965, 3.190000, 3190000000000000000
2020-09-27 14:51:44 UTC, 4995, 6.000000, 6000000000000000000
2020-09-27 14:55:19 UTC, 4519, 3.300000, 3300000000000000000
2020-09-27 15:02:03 UTC, 1127, 6.000000, 6000000000000000000
2020-09-27 15:02:15 UTC, 6672, 3.000000, 3000000000000000000
2020-09-27 15:19:00 UTC, 3780, 3.450000, 3450000000000000000
2020-09-27 15:19:25 UTC, 9617, 4.700000, 4700000000000000000
2020-09-27 15:19:25 UTC, 8817, 3.250000, 3250000000000000000
2020-09-27 15:24:48 UTC, 2788, 3.810000, 3810000000000000000
2020-09-27 15:25:21 UTC, 4592, 3.400000, 3400000000000000000
2020-09-27 15:34:12 UTC, 9271, 4.790000, 4790000000000000000
2020-09-27 15:37:01 UTC, 9126, 6.000000, 6000000000000000000
2020-09-27 15:47:52 UTC, 4898, 7.500000, 7500000000000000000
2020-09-27 15:48:20 UTC, 6468, 6.740000, 6740000000000000000
2020-09-27 15:48:42 UTC, 7421, 7.000000, 7000000000000000000
2020-09-27 15:48:42 UTC, 4013, 6.190000, 6190000000000000000
2020-09-27 15:48:42 UTC, 3651, 7.000000, 7000000000000000000
2020-09-27 16:11:24 UTC, 3254, 4.990000, 4990000000000000000
2020-09-27 16:24:47 UTC, 9289, 4.000000, 4000000000000000000
2020-09-27 17:37:16 UTC, 3878, 3.100000, 3100000000000000000
2020-09-27 17:41:42 UTC, 9117, 3.450000, 3450000000000000000
2020-09-27 17:44:26 UTC, 5465, 3.300000, 3300000000000000000
2020-09-27 19:16:03 UTC, 6975, 4.990000, 4990000000000000000
2020-09-27 21:14:40 UTC, 5089, 3.490000, 3490000000000000000
2020-09-27 21:32:34 UTC, 5581, 3.500000, 3500000000000000000
2020-09-27 23:02:38 UTC, 9347, 5.220000, 5220000000000000000
