timestamp, id, price (in eth), price (in wei)
2018-09-01 00:32:56 UTC, 2321, 0.190000, 190000000000000000
2018-09-01 07:43:18 UTC, 2377, 0.150000, 150000000000000000
2018-09-01 07:44:38 UTC, 3766, 0.160000, 160000000000000000
2018-09-01 16:44:39 UTC, 3545, 0.200000, 200000000000000000
2018-09-01 16:45:41 UTC, 7965, 0.180000, 180000000000000000
2018-09-01 16:59:18 UTC, 2481, 0.130000, 130000000000000000
2018-09-01 16:59:18 UTC, 5737, 0.120000, 120000000000000000
2018-09-01 17:02:28 UTC, 5180, 0.200000, 200000000000000000
2018-09-01 17:10:58 UTC, 8288, 0.100000, 100000000000000000
2018-09-01 17:11:36 UTC, 2565, 0.130000, 130000000000000000
