timestamp, id, price (in eth), price (in wei)
2021-01-26 02:20:45 UTC, 6873, 6.990000, 6990000000000000000
2021-01-26 02:22:08 UTC, 9271, 6.000000, 6000000000000000000
2021-01-26 02:25:17 UTC, 5148, 6.500000, 6500000000000000000
2021-01-26 03:00:44 UTC, 8696, 15.000000, 15000000000000000000
2021-01-26 05:33:39 UTC, 4303, 4.200000, 4200000000000000000
2021-01-26 09:46:26 UTC, 2862, 4.900000, 4900000000000000000
2021-01-26 13:11:56 UTC, 3613, 7.500000, 7500000000000000000
2021-01-26 13:13:57 UTC, 6241, 7.700000, 7700000000000000000
2021-01-26 13:14:03 UTC, 8824, 5.890000, 5890000000000000000
2021-01-26 13:14:03 UTC, 5437, 4.900000, 4900000000000000000
2021-01-26 13:14:03 UTC, 5252, 5.880000, 5880000000000000000
2021-01-26 13:14:06 UTC, 2315, 6.610000, 6610000000000000000
2021-01-26 13:21:11 UTC, 2061, 5.250000, 5250000000000000000
2021-01-26 13:50:29 UTC, 4845, 4.450000, 4450000000000000000
2021-01-26 13:58:11 UTC, 8904, 7.490000, 7490000000000000000
2021-01-26 14:46:40 UTC, 850, 6.500000, 6500000000000000000
2021-01-26 15:47:36 UTC, 9608, 5.000000, 5000000000000000000
2021-01-26 16:30:58 UTC, 7241, 4.206900, 4206900000000000000
2021-01-26 16:51:18 UTC, 7268, 4.210000, 4210000000000000000
2021-01-26 19:11:22 UTC, 4810, 4.200000, 4200000000000000000
2021-01-26 22:22:58 UTC, 5427, 4.970000, 4970000000000000000
2021-01-26 23:09:32 UTC, 8279, 6.900000, 6900000000000000000
2021-01-26 23:37:38 UTC, 4157, 4.250000, 4250000000000000000
